DATE,INV_NO,CODE,NAME,UNIT PRICE,Q,TOTAL/B/V,DISC,VAT,TOTAL,STATEMENT,supplier,NOTES
8/3/2023,"10,010",SP001568,TOPAZ ENAMEL (16.7),500,2,1000,50,142.5,1092.5,EXPANSION,ALSUHAIMI,0
8/3/2023,"2,670",SP001565,THREAD ROAD 10MMX3METER,8,100,800,0,120,920,EXPANSION,MAREI_SALEM,0
8/3/2023,"2,670",SP001566,NUT WASHER 10MM,0.3,500,150,0,22.5,172.5,EXPANSION,MAREI_SALEM,0
8/3/2023,"80,409",SP001567,PERMATEX GASKET SEALEN,13.75,48,660,0,99,759,P3,HASSAN_SALEH,0
8/3/2023,"80,409",SP001442,teflon tape small,0.65,150,97.5,0,14.625,112.125,P3,HASSAN_SALEH,0
8/6/2023,"6,030",SP001529,"CS ELBOW 90� BW SCH40-4"" -(BLW40-4)",30,30,900,0,135,1035,P3,AMTAR,0
8/7/2023,"6,029",SP001550,CABLE TIE (300X4.8),16,2,32,0,4.8,36.8,EXPANSION,ATHIER_ABDALLAH,0
8/7/2023,"6,029",SP001553,CABLE TIE 10 (250X4.5),9,2,18,0,2.7,20.7,EXPANSION,ATHIER_ABDALLAH,0
8/7/2023,"6,029",SP001555,CABLE TIE 8(250X4.5),7,2,14,0,2.1,16.1,EXPANSION,ATHIER_ABDALLAH,0
8/7/2023,"2,669",SP001546,PVC BUSH S/40,12,4,48,0.17,7.1745,55.0045,NEW_LAND,ABDELRAHMAN_ELRAGHI,0
8/7/2023,"12,360",SP001332,electric tape,2.5,500,1250,0,187.5,1437.5,EXPANSION,ATHIER_ABDALLAH,0
8/7/2023,"137,749",SP001547,GAL HEX SCREW 8.8M 12X050,0.61,300,183,0,27.45,210.45,P3,FASTENER_WORLD,0
8/7/2023,"137,749",SP001548,CLS 8GAL HEX NUT M012,0.25,300,75,0,11.25,86.25,P3,FASTENER_WORLD,0
8/7/2023,"137,749",SP001549,GAL FLAT WASHER 12X24X1.5,0.15,600,90,0,13.5,103.5,P3,FASTENER_WORLD,0
8/7/2023,"6,063",SP001559,"AMT CLEVIS HANGER 4""",6.6,20,132,0,19.8,151.8,EXPANSION,AMTAR,0
8/7/2023,"6,063",SP001560,"TG  CLEVIS HANGER 2.5""",4.5,30,135,0,20.25,155.25,EXPANSION,AMTAR,0
8/7/2023,"6,063",SP001561,"TG  CLEVIS HANGER 1""",2.2,80,176,0,26.4,202.4,EXPANSION,AMTAR,0
8/7/2023,"6,063",SP001562,"TG  CLEVIS HANGER 3""",6,20,120,0,18,138,EXPANSION,AMTAR,0
8/7/2023,"6,063",SP001563,"TG  CLEVIS HANGER 2""",3,20,60,0,9,69,EXPANSION,AMTAR,0
8/7/2023,"6,063",SP001564,"TG  CLEVIS HANGER 1.25""",2.5,40,100,0,15,115,EXPANSION,AMTAR,0
8/8/2023,"6,090",SP001570,"AMT GATE VALVE WITH FLANGE(CL150-1.5"")",850,1,850,0,127.5,977.5,EXPANSION,AMTAR,0
8/8/2023,"18,363",SP001068,"wash basin drain hose ,2",8,6,48,0,7.2,55.2,EXPANSION,FADAK_WACOOT,0
8/8/2023,"10,218",SP001569,PVC CABLE TIE(NYLON),13,20,260,0,39,299,EXPANSION,GADAH_FARES,0
8/8/2023,"10,218",SP001554,CABLE TIE  (200X3.5),7,20,140,0,21,161,EXPANSION,GADAH_FARES,0
8/8/2023,"10,218",SP001551,CABLE TIE (150X4.8),6,20,120,0,18,138,EXPANSION,GADAH_FARES,0
8/8/2023,"10,218",SP001552,CABLE TIE (100X2.5),3,20,60,0,9,69,EXPANSION,GADAH_FARES,0
8/8/2023,"47,311",SP001530,Drill Bit 6mm,6,2,12,0,1.8,13.8,P2,ARKAN_ALAFIA,0
8/8/2023,"10,010",SP001609,MAESTRO GLOSS ENAMEL 18,475,5,2375,0,356.25,2731.25,EXPANSION,ALSUHAIMI,0
8/8/2023,"10,010",SP001610,HEMPELS TRAFFIC AIRFIELD PAINT,575,2,1150,0,172.5,1322.5,EXPANSION,ALSUHAIMI,0
8/8/2023,"10,010",SP001023,paint thinner,237,2,474,82,58.8,450.8,EXPANSION,ALSUHAIMI,0
8/8/2023,"14,999",SP001608,EMT CONDIUT UL PANASONIC 3MTR 3/4,19,500,9500,0,1425,10925,P3,NEW_VICTORY,0
8/8/2023,"1,128",SP001580,TEMPRATURE CONTROLLER VU900,475,10,4750,0,712.5,5462.5,P2,ELECTRONICS_COMPONENTS,0
8/10/2023,"1,935",SP001539,ZEMIC LOAD CELL 3KIT (12 LOAD),3000,3,9000,0,1350,10350,EXPANSION,GLOBAL_SCALES,0
8/10/2023,"1,935",SP001540,ZEMIC LOAD CELL 2KIT (8 LOAD),1000,8,8000,0,1200,9200,EXPANSION,GLOBAL_SCALES,0
8/10/2023,"1,935",SP001541,ZEMIC JUNCTION BOX 4HOLE,600,5,3000,0,450,3450,EXPANSION,GLOBAL_SCALES,0
8/10/2023,"1,935",SP001542,METTLER WEIGH TERM IND (231G 100A),2200,5,11000,0,1650,12650,EXPANSION,GLOBAL_SCALES,0
8/12/2023,"10,255",SP001581,WASH BASIN CABINET 60cm W/STAND,110,1,110,0,16.5,126.5,P3,GADAH_FARES,0
8/12/2023,"10,255",SP001544,SINGLE MIXER WATER,35,1,35,0,5.25,40.25,P3,GADAH_FARES,0
8/12/2023,"10,255",SP001545,"HOSE HARRAF(1/2"")",7,1,7,0,1.05,8.05,P3,GADAH_FARES,0
8/12/2023,"2,757",SP001590,"PVC COUPLING 2"" S/80",4.75,1,4.75,0,0.7125,5.4625,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/12/2023,"2,757",SP001533,"PVC ELBOW 45*S/80 2""",6,2,12,0,1.8,13.8,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/12/2023,"2,757",SP001534,"PVC ELBOW 90*S/80 2""",5.7,2,11.4,0,1.71,13.11,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/12/2023,"2,757",SP001535,"PVC ELBOW 90*S/80 3/4""",1.25,10,12.5,0,1.875,14.375,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/12/2023,"2,757",SP001536," pvc tee*S/80 3/4""",1.5,5,7.5,0,1.125,8.625,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/12/2023,"2,757",SP001537,"PVC  ADAPTER BRASS THREADED (3/4X1/2"")",4,5,20,0,3,23,EXPANSION,ABDELRAHMAN_ELRAGHI,0
8/13/2023,"3,878",SP000928,Forklift Oil Filter,25,15,375,0,56.25,431.25,P2,SAMEER_BINHUSSAIN,0
8/13/2023,"12,426",SP001573,PVC BOX(7X7),2,30,60,0,9,69,P3,ATHIER_ABDALLAH,0
